,,,,,,,,,,,,,,
State,City,year,Population,Violent_crime,Murder,Rape_revised_definition,Rape_legacy_definition,Robbery,Aggravated_assault,Property_crime,Burglary,Larceny_theft,Motor_vehicle_theft,Arson
CALIFORNIA,FULLERTON,2015,"139,895",193,0,30,0,50,113,"1,924",222,"1,485",217,0
CALIFORNIA,GARDEN GROVE,2014,"176,106",211,3,0,7,64,137,"1,540",312,979,249,16
CALIFORNIA,GARDEN GROVE,2015,"176,106",267,1,23,0,81,162,"2,198",380,"1,491",327,10
CALIFORNIA,GLENDALE,2014,"197,079",86,0,0,4,31,51,"1,571",257,"1,173",141,11
CALIFORNIA,GLENDALE,2015,"197,079",95,3,8,0,37,47,"1,693",262,"1,259",172,5
CALIFORNIA,HAYWARD,2014,"153,319",289,5,20,0,152,112,"2,372",474,"1,237",661,22
CALIFORNIA,HAYWARD,2015,"153,319",294,3,33,0,164,94,"2,338",385,"1,259",694,17
CALIFORNIA,HUNTINGTON BEACH,2014,"199,152",191,1,27,0,50,113,"2,120",298,"1,675",147,7
CALIFORNIA,HUNTINGTON BEACH,2015,"199,152",178,0,21,0,52,105,"2,388",360,"1,838",190,14
CALIFORNIA,INGLEWOOD,2014,"111,997",357,14,0,14,162,167,"1,356",279,731,346,12
CALIFORNIA,INGLEWOOD,2015,"111,997",347,2,17,0,160,168,"1,282",260,679,343,4
CALIFORNIA,IRVINE,2014,"242,971",54,0,0,9,17,28,"1,495",266,"1,167",62,4
CALIFORNIA,IRVINE,2015,"242,971",56,1,11,0,20,24,"1,949",251,"1,598",100,3
CALIFORNIA,LANCASTER,2014,"160,190",459,3,0,26,109,321,"1,659",503,966,190,22
CALIFORNIA,LANCASTER,2015,"160,190",481,6,42,0,146,287,"1,707",526,979,202,27
CALIFORNIA,LONG BEACH,2014,"471,123","1,096",14,0,60,429,593,"6,123","1,785","3,203","1,135",44
CALIFORNIA,LONG BEACH,2015,"471,123","1,312",13,94,0,465,740,"6,813","1,470","4,089","1,254",28
CALIFORNIA,LOS ANGELES,2014,"3,906,772","8,700",132,522,0,"3,619","4,427","39,703","6,875","26,431","6,397",675
CALIFORNIA,LOS ANGELES,2015,"3,906,772","10,814",128,665,0,"4,274","5,747","45,362","8,190","29,648","7,524",638
CALIFORNIA,MODESTO,2014,"205,820",869,7,0,31,204,627,"4,663","1,009","3,066",588,29
CALIFORNIA,MODESTO,2015,"205,820",983,9,50,0,235,689,"4,857",722,"3,294",841,28
CALIFORNIA,MORENO VALLEY,2014,"202,911",248,1,0,9,116,122,"3,124",863,"1,789",472,7
CALIFORNIA,MORENO VALLEY,2015,"202,911",282,2,16,0,125,139,"3,105",612,"2,025",468,5
CALIFORNIA,MURRIETA,2014,"108,376",21,0,0,2,7,12,735,140,488,107,6
CALIFORNIA,MURRIETA,2015,"108,376",42,0,7,0,17,18,981,157,672,152,5
CALIFORNIA,NORWALK,2014,"106,838",171,5,0,8,64,94,996,195,588,213,7
CALIFORNIA,NORWALK,2015,"106,838",194,2,12,0,69,111,942,169,553,220,1
CALIFORNIA,OCEANSIDE,2014,"174,102",338,2,0,28,84,224,"1,924",305,"1,417",202,19
CALIFORNIA,OCEANSIDE,2015,"174,102",313,6,33,0,102,172,"2,156",264,"1,666",226,9
CALIFORNIA,ONTARIO,2014,"168,278",231,4,0,9,88,130,"2,207",399,"1,412",396,12
CALIFORNIA,ONTARIO,2015,"168,278",263,2,14,0,100,147,"2,542",442,"1,595",505,19
CALIFORNIA,ORANGE,2014,"140,767",77,0,0,2,31,44,"1,116",202,790,124,18
CALIFORNIA,ORANGE,2015,"140,767",96,2,6,0,31,57,"1,502",287,"1,042",173,4
CALIFORNIA,OXNARD,2014,"204,159",447,5,27,0,233,182,"2,968",584,"2,041",343,21
CALIFORNIA,OXNARD,2015,"204,159",446,6,12,0,193,235,"3,312",490,"2,430",392,12
CALIFORNIA,PALMDALE,2014,"158,210",409,5,0,14,120,270,"1,525",385,"1,010",130,12
CALIFORNIA,PALMDALE,2015,"158,210",406,4,24,0,121,257,"1,590",424,920,246,14
CALIFORNIA,PASADENA,2014,"140,373",174,3,0,11,53,107,"1,767",364,"1,282",121,14
CALIFORNIA,PASADENA,2015,"140,373",204,1,28,0,66,109,"1,951",409,"1,372",170,30
CALIFORNIA,POMONA,2014,"151,899",400,8,0,24,123,245,"2,199",299,"1,395",505,6
CALIFORNIA,POMONA,2015,"151,899",400,7,35,0,147,211,"2,321",323,"1,314",684,27
CALIFORNIA,RANCHO CUCAMONGA,2014,"172,694",130,3,6,0,44,77,"1,866",663,975,228,11
CALIFORNIA,RANCHO CUCAMONGA,2015,"172,694",97,1,14,0,36,46,"1,906",608,"1,129",169,4
CALIFORNIA,RIALTO,2014,"102,540",162,0,0,11,58,93,"1,149",331,452,366,8
CALIFORNIA,RIALTO,2015,"102,540",207,1,19,0,73,114,"1,020",310,410,300,8
CALIFORNIA,RIVERSIDE,2014,"319,453",658,9,0,69,221,359,"4,657",768,"3,163",726,48
CALIFORNIA,RIVERSIDE,2015,"319,453",679,3,63,0,253,360,"4,949",781,"3,416",752,0
CALIFORNIA,ROSEVILLE,2014,"128,997",101,1,9,0,27,64,"1,509",204,"1,191",114,8
CALIFORNIA,ROSEVILLE,2015,"128,997",123,0,15,0,32,76,"1,621",242,"1,240",139,5
CALIFORNIA,SACRAMENTO,2014,"482,767","1,460",18,0,31,464,947,"7,642","1,594","4,908","1,140",75
CALIFORNIA,SACRAMENTO,2015,"482,767","1,830",25,50,0,572,"1,183","8,056","1,798","4,858","1,400",0
CALIFORNIA,SALINAS,2014,"156,908",471,7,0,13,205,246,"2,743",702,"1,328",713,20
CALIFORNIA,SALINAS,2015,"156,908",589,12,40,0,224,313,"2,361",456,"1,033",872,12
CALIFORNIA,SAN BERNARDINO,2014,"214,588","1,058",26,0,47,400,585,"4,559","1,133","2,186","1,240",67
CALIFORNIA,SAN BERNARDINO,2015,"214,588","1,223",16,50,0,419,738,"5,050","1,562","2,174","1,314",28
CALIFORNIA,SAN DIEGO,2014,"1,368,690","2,591",19,0,183,635,"1,754","13,759","2,647","8,515","2,597",110
CALIFORNIA,SAN DIEGO,2015,"1,368,690","2,845",17,253,0,659,"1,916","13,776","2,435","8,898","2,443",0
CALIFORNIA,SAN FRANCISCO,2014,"850,294","3,279",14,163,0,"1,510","1,592","21,330","2,722","15,613","2,995",117
CALIFORNIA,SAN FRANCISCO,2015,"850,294","3,453",24,174,0,"1,899","1,356","27,001","2,653","20,854","3,494",160
CALIFORNIA,SAN JOSE,2014,"1,009,679","1,629",19,0,145,561,904,"12,053","2,501","5,657","3,895",63
CALIFORNIA,SAN JOSE,2015,"1,009,679","1,700",11,178,0,581,930,"12,717","2,466","6,605","3,646",60
CALIFORNIA,SAN MATEO,2014,"102,082",107,0,0,10,43,54,994,158,744,92,4
CALIFORNIA,SAN MATEO,2015,"102,082",118,0,5,0,27,86,977,355,540,82,3
CALIFORNIA,SANTA ANA,2014,"336,462",619,10,0,50,219,340,"2,793",413,"1,783",597,8
CALIFORNIA,SANTA ANA,2015,"336,462",773,6,69,0,259,439,"3,618",392,"2,287",939,18
CALIFORNIA,SANTA CLARA,2014,"121,114",77,0,0,22,39,16,"1,653",289,"1,152",212,6
CALIFORNIA,SANTA CLARA,2015,"121,114",79,0,6,0,40,33,"1,848",280,"1,344",224,6
CALIFORNIA,SANTA MARIA,2014,"102,885",225,0,0,18,78,129,"1,642",337,824,481,8
CALIFORNIA,SANTA MARIA,2015,"102,885",214,4,26,0,67,117,"1,466",328,804,334,4
CALIFORNIA,SANTA ROSA,2014,"172,991",302,0,0,31,60,211,"2,107",335,"1,560",212,35
CALIFORNIA,SANTA ROSA,2015,"172,991",312,2,40,0,65,205,"2,313",324,"1,739",250,20
CALIFORNIA,SIMI VALLEY,2014,"126,604",50,0,0,9,10,31,778,134,598,46,2
CALIFORNIA,SIMI VALLEY,2015,"126,604",83,1,12,0,20,50,801,132,613,56,5
CALIFORNIA,STOCKTON,2014,"299,519","1,972",21,0,61,532,"1,358","6,725","1,638","4,150",937,37
CALIFORNIA,STOCKTON,2015,"299,519","2,019",18,65,0,570,"1,366","6,399","1,450","3,999",950,47
CALIFORNIA,SUNNYVALE,2014,"149,384",78,0,9,0,36,33,"1,143",250,749,144,12
CALIFORNIA,SUNNYVALE,2015,"149,384",78,0,17,0,34,27,"1,231",302,778,151,7
CALIFORNIA,TEMECULA,2014,"108,308",44,1,0,4,26,13,"1,318",380,830,108,5
CALIFORNIA,TEMECULA,2015,"108,308",51,0,5,0,20,26,"1,503",266,"1,077",160,1
CALIFORNIA,THOUSAND OAKS,2014,"129,175",69,0,13,0,11,45,794,162,582,50,3
CALIFORNIA,THOUSAND OAKS,2015,"129,175",65,0,18,0,12,35,830,131,638,61,4
CALIFORNIA,TORRANCE,2014,"147,971",64,1,0,6,21,36,"1,218",282,813,123,2
CALIFORNIA,TORRANCE,2015,"147,971",104,1,20,0,36,47,"1,418",272,980,166,1
CALIFORNIA,VALLEJO,2014,"119,504",518,5,0,25,204,284,"2,380","1,063",774,543,22
CALIFORNIA,VALLEJO,2015,"119,504",502,8,55,0,154,285,"2,449","1,084",852,513,17
CALIFORNIA,VENTURA,2014,"109,246",121,1,0,12,45,63,"1,901",325,"1,484",92,2
CALIFORNIA,VENTURA,2015,"109,246",196,1,32,0,53,110,"1,945",327,"1,493",125,8
CALIFORNIA,VICTORVILLE,2014,"122,316",307,3,0,18,92,194,"2,100",891,931,278,8
CALIFORNIA,VICTORVILLE,2015,"122,316",372,4,26,0,96,246,"1,891",617,991,283,23
CALIFORNIA,VISALIA,2014,"128,488",233,5,0,17,74,137,"1,971",362,"1,325",284,2
CALIFORNIA,VISALIA,2015,"128,488",285,3,34,0,75,173,"1,962",419,"1,303",240,10
CALIFORNIA,WEST COVINA,2014,"108,136",106,0,0,2,31,73,"1,390",233,955,202,2
CALIFORNIA,WEST COVINA,2015,"108,136",121,1,6,0,39,75,"1,460",182,"1,049",229,2
NEW YORK,AMHERST TOWN,2014,"118,860",64,1,5,0,22,36,905,71,815,19,2
NEW YORK,AMHERST TOWN,2015,"118,860",56,0,7,0,19,30,812,81,708,23,6
NEW YORK,BUFFALO,2014,"258,419","1,507",19,76,0,605,807,"5,876","1,435","3,941",500,0
NEW YORK,BUFFALO,2015,"258,419","1,297",12,87,0,457,741,"4,904","1,040","3,379",485,70
NEW YORK,NEW YORK,2014,"8,473,938","24,191",146,"1,075",0,"7,691","15,279","63,155","7,433","52,230","3,492",0
NEW YORK,NEW YORK,2015,"8,473,938","23,225",164,"1,082",0,"7,598","14,381","60,300","6,410","50,526","3,364",0
NEW YORK,ROCHESTER,2014,"210,347",776,19,93,0,286,378,"3,874",826,"2,746",302,50
NEW YORK,ROCHESTER,2015,"210,347",853,15,65,0,287,486,"3,575",696,"2,502",377,44
NEW YORK,SYRACUSE,2014,"144,534",526,6,33,0,164,323,"2,682",665,"1,890",127,24
NEW YORK,SYRACUSE,2015,"144,534",528,8,34,0,191,295,"2,361",530,"1,690",141,19
NEW YORK,YONKERS,2014,"200,624",475,2,10,0,152,311,928,190,652,86,10
NEW YORK,YONKERS,2015,"200,624",447,3,23,0,161,260,980,194,644,142,6
TEXAS,ABILENE,2014,"120,686",262,3,0,49,58,152,"2,471",437,"1,894",140,18
TEXAS,ABILENE,2015,"120,686",336,6,38,0,64,228,"2,805",609,"2,003",193,12
TEXAS,AMARILLO,2014,"197,724",688,3,133,0,144,408,"4,464",892,"3,142",430,15
TEXAS,AMARILLO,2015,"197,724",651,3,116,0,137,395,"4,377",892,"3,111",374,13
TEXAS,ARLINGTON,2014,"382,976",907,6,0,102,241,558,"6,455","1,207","4,798",450,21
TEXAS,ARLINGTON,2015,"382,976","1,021",4,169,0,248,600,"6,679","1,098","5,169",412,19
TEXAS,BEAUMONT,2014,"117,898",522,8,0,44,144,326,"2,799",763,"1,923",113,19
TEXAS,BEAUMONT,2015,"117,898",572,11,45,0,162,354,"2,250",570,"1,582",98,18
TEXAS,BROWNSVILLE ,2014,"183,433",273,3,0,42,67,161,"3,604",475,"3,048",81,7
TEXAS,BROWNSVILLE ,2015,"183,433",239,1,24,0,76,138,"3,700",501,"3,124",75,9
TEXAS,CARROLLTON,2014,"128,577",91,1,0,1,25,64,"1,312",257,935,120,5
TEXAS,CARROLLTON,2015,"128,577",76,1,4,0,28,43,"1,380",229,"1,024",127,0
TEXAS,COLLEGE STATION,2014,"101,483",85,0,13,0,21,51,"1,158",292,833,33,0
TEXAS,COLLEGE STATION,2015,"101,483",109,2,31,0,20,56,"1,119",182,894,43,0
TEXAS,CORPUS CHRISTI,2014,"319,211",976,12,0,144,184,636,"7,186","1,185","5,757",244,31
TEXAS,CORPUS CHRISTI,2015,"319,211","1,039",12,155,,205,667,"5,339",945,"4,133",261,28
TEXAS,DALLAS,2014,"1,272,396","3,941",53,0,384,"1,781","1,723","21,979","5,567","13,100","3,312",180
TEXAS,DALLAS,2015,"1,272,396","4,342",69,405,0,"2,008","1,860","21,508","5,095","12,778","3,635",196
TEXAS,DENTON,2014,"125,248",189,0,64,0,31,94,"1,325",201,"1,065",59,0
TEXAS,DENTON,2015,"125,248",211,2,50,0,34,125,"1,366",170,"1,121",75,0
TEXAS,EL PASO,2014,"680,273","1,396",7,0,183,227,979,"7,345",837,"6,106",402,26
TEXAS,EL PASO,2015,"680,273","1,204",8,153,0,192,851,"6,240",646,"5,233",361,38
TEXAS,FORT WORTH,2014,"804,907","2,243",30,272,0,580,"1,361","15,642","3,642","10,867","1,133",80
TEXAS,FORT WORTH,2015,"804,907","2,208",25,281,0,481,"1,421","14,916","2,964","10,823","1,129",60
TEXAS,FRISCO,2014,"141,940",57,1,10,0,6,40,"1,226",219,974,33,6
TEXAS,FRISCO,2015,"141,940",49,1,12,0,14,22,"1,088",178,885,25,1
TEXAS,GRAND PRAIRIE,2014,"185,273",249,1,0,46,93,109,"2,440",463,"1,651",326,6
TEXAS,GRAND PRAIRIE,2015,"185,273",277,1,65,,58,153,"1,962",349,"1,381",232,11
TEXAS,HOUSTON,2014,"2,219,933","10,401",100,0,416,"4,717","5,168","52,686","10,826","34,814","7,046",341
TEXAS,HOUSTON,2015,"2,219,933","10,216",144,374,,"4,777","4,921","48,909","9,597","32,644","6,668",332
TEXAS,IRVING,2014,"231,708",271,2,0,19,81,169,"3,142",562,"2,297",283,13
TEXAS,IRVING,2015,"231,708",216,6,15,0,83,112,"2,914",507,"2,132",275,10
TEXAS,LAREDO,2014,"250,994",518,9,0,40,95,374,"5,079",668,"4,260",151,51
TEXAS,LAREDO,2015,"250,994",491,4,64,0,69,354,"4,291",532,"3,599",160,43
TEXAS,LEWISVILLE,2014,"102,439",98,0,18,0,25,55,"1,257",214,897,146,1
TEXAS,LEWISVILLE,2015,"102,439",115,1,25,0,27,62,"1,109",157,849,103,2
TEXAS,LUBBOCK,2014,"241,826",930,5,0,56,132,737,"5,084","1,059","3,648",377,28
TEXAS,LUBBOCK,2015,"241,826","1,104",8,90,0,167,839,"5,785","1,231","4,138",416,19
TEXAS,MCKINNEY,2014,"152,806",110,2,16,0,27,65,"1,357",192,"1,090",75,6
TEXAS,MCKINNEY,2015,"152,806",138,2,26,0,27,83,"1,241",136,"1,049",56,6
TEXAS,MESQUITE,2014,"144,396",226,1,0,29,85,111,"2,646",566,"1,701",379,5
TEXAS,MESQUITE,2015,"144,396",215,3,22,,99,91,"2,876",553,"1,910",413,2
TEXAS,ODESSA,2014,"113,619",496,4,0,28,72,392,"1,953",333,"1,391",229,5
TEXAS,ODESSA,2015,"113,619",589,6,32,0,79,472,"2,270",383,"1,618",269,13
TEXAS,PASADENA,2014,"153,540",300,4,0,41,82,173,"2,407",397,"1,743",267,7
TEXAS,PASADENA,2015,"153,540",292,1,38,0,81,172,"2,203",351,"1,540",312,25
TEXAS,PEARLAND,2014,"102,516",72,1,19,0,11,41,927,121,777,29,3
TEXAS,PEARLAND,2015,"102,516",80,1,26,0,19,34,"1,088",177,871,40,2
TEXAS,PLANO,2014,"277,822",249,2,47,0,81,119,"2,674",345,"2,184",145,13
TEXAS,PLANO,2015,"277,822",223,3,46,0,64,110,"2,382",343,"1,921",118,8
TEXAS,RICHARDSON,2014,"105,744",90,1,0,12,38,39,"1,199",167,960,72,4
TEXAS,RICHARDSON,2015,"105,744",76,0,13,0,26,37,"1,092",192,825,75,1
TEXAS,ROUND ROCK,2014,"112,199",57,0,0,12,20,25,"1,031",111,900,20,5
TEXAS,ROUND ROCK,2015,"112,199",71,1,15,0,18,37,"1,062",98,943,21,2
TEXAS,SAN ANTONIO,2014,"1,428,465","3,757",43,0,518,885,"2,311","38,179","6,230","28,292","3,657",139
TEXAS,SAN ANTONIO,2015,"1,428,465","4,005",51,509,0,915,"2,530","35,261","5,576","26,572","3,113",119
TEXAS,TYLER,2014,"100,969",0,0,0,0,0,0,0,0,0,0,0
TEXAS,TYLER,2015,"100,969",214,5,27,0,38,144,"1,889",320,"1,485",84,0
TEXAS,WICHITA FALLS,2014,"104,949",203,2,,43,51,107,"2,030",450,"1,459",121,0
TEXAS,WICHITA FALLS,2015,"104,949",200,1,48,0,54,97,"2,058",456,"1,527",75,0

